Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-12-19,360.0,360.0,360.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-13,370.0,370.0,370.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-27,360.0,360.0,360.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-20,350.0,350.0,350.0,1.1,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-13,360.0,360.0,360.0,3.3,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-09,350.0,350.0,350.0,900.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-11-23,320.0,320.0,320.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-12-07,285.0,285.0,285.0,510.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-01-18,270.0,270.0,270.0,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-03-15,240.0,240.0,240.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-04-12,220.0,220.0,220.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-05-17,214.0,214.0,214.0,551.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-06-14,208.0,208.0,208.0,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-06-21,202.0,202.0,202.0,1.0,7.127199906569501,BUY,0.0,,BUY,-100.0,BUY,,HOLD,2.586707375577518,BUY
2019-10-18,196.0,196.0,196.0,390.0,6.788912011704966,BUY,0.0,,BUY,-100.0,BUY,,HOLD,2.4306079125019124,BUY
2019-11-08,191.0,191.0,191.0,760.0,6.511544881620992,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0859475098011302,BUY
2020-01-24,188.0,188.0,188.0,1.0,6.344066606024825,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.08823352472879264,BUY
2020-02-28,185.0,185.0,185.0,400.0,6.173080406478249,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.08365949739514633,BUY
2020-03-13,170.0,170.0,170.0,465.0,5.3907389966383334,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2020-03-20,152.0,161.0,152.0,1000.0,4.6320953809004095,BUY,0.0,0.0,BUY,-100.0,BUY,-101.49774611022245,BUY,0.0,BUY
2020-09-18,150.0,150.0,150.0,1.4,4.55538454411213,BUY,0.0,0.0,BUY,-100.0,BUY,-98.50064541753548,HOLD,0.0,BUY
2020-10-16,149.0,149.0,149.0,9.385,4.51512179873194,BUY,0.0,0.0,BUY,-100.0,BUY,-94.3685826188208,HOLD,0.0,BUY
2021-01-22,149.0,149.0,149.0,3.3,4.51512179873194,BUY,0.0,0.0,BUY,-100.0,BUY,-90.06531454107942,HOLD,0.0,BUY
2021-02-19,147.0,147.0,147.0,6.858,4.424416285438241,BUY,0.0,0.0,BUY,-100.0,BUY,-89.82818526664752,HOLD,0.0,BUY
2021-04-09,146.0,146.0,146.0,300.0,4.377068222253882,BUY,0.0,0.0,BUY,-100.0,BUY,-89.40397350993379,HOLD,0.0,BUY
2021-07-16,150.0,150.0,150.0,100.0,8.59092921667876,BUY,6.451612903225806,2.150537634408602,BUY,-93.54838709677419,BUY,-80.95238095238095,HOLD,2.0351221627054485,BUY
2022-06-03,152.0,152.0,152.0,10.0,10.709667329431056,BUY,10.714285714285714,5.721966205837173,BUY,-89.28571428571429,BUY,-73.24568031837185,HOLD,2.7859451851355033,BUY
2022-06-17,152.0,152.0,152.0,1.91,10.709667329431056,BUY,12.0,9.721966205837173,BUY,-88.0,BUY,-66.66666666666664,HOLD,2.7868945527887234,BUY
2022-08-05,152.0,152.0,152.0,1.232,10.709667329431056,BUY,13.333333333333334,12.015873015873018,BUY,-86.66666666666667,BUY,-60.60606060606064,HOLD,3.1994763642469906,BUY
2022-11-04,156.0,156.0,156.0,5.066,15.59655337417287,BUY,23.80952380952381,16.380952380952383,HOLD,-76.19047619047619,HOLD,-44.98269896193769,HOLD,4.653745893425125,BUY
2022-11-18,160.0,160.0,160.0,760.0,20.29442508631712,BUY,35.8974358974359,24.34676434676435,HOLD,-64.1025641025641,HOLD,-27.940220922677042,HOLD,28.15501248947085,HOLD
2022-12-30,158.0,158.0,158.0,10.0,19.703887455293412,BUY,50.0,36.56898656898657,HOLD,-50.0,HOLD,-28.985507246376848,HOLD,32.99870682450833,HOLD
