Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-05-13,200.0,200.0,200.0,41.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-23,200.0,200.0,200.0,59.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-23,200.0,200.0,200.0,46.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-16,225.0,225.0,225.0,11.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-01-24,231.0,231.0,231.0,47.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-04,250.0,250.0,250.0,111.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-10-23,257.0,257.0,257.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-12-25,250.0,250.0,250.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-07-01,250.0,250.0,250.0,198.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-07-15,155.0,155.0,155.0,834.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-05-05,250.0,250.0,250.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-09-08,250.0,250.0,250.0,5.781,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
